id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
501929,The Mitchells vs. the Machines,"Animation,Adventure,Comedy",en,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",35.807,2021-04-22,8.0,2046
28178,Hachi: A Dog's Tale,"Drama,Family",en,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,46.039,2009-06-08,8.0,5699
140420,Paperman,"Animation,Family,Romance",en,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,8.007,2012-11-02,8.0,1506
13223,Gran Torino,Drama,en,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",30.877,2008-12-09,8.0,9109
359724,Ford v Ferrari,"Drama,Action,History",en,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",51.999,2019-11-13,8.0,5850
527774,Raya and the Last Dragon,"Animation,Family,Fantasy,Action,Adventure",en,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",221.83,2021-03-03,8.0,5452
142061,"Batman: The Dark Knight Returns, Part 2","Science Fiction,Action,Animation,Mystery",en,Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,17.253,2013-01-03,8.0,1156
627,Trainspotting,"Drama,Crime",en,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.",25.467,1996-02-23,8.0,8266
530915,1917,"War,Drama,Action,Thriller,History",en,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",41.834,2019-12-25,8.0,9935
24,Kill Bill: Vol. 1,"Action,Crime",en,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",42.467,2003-10-10,8.0,14823
862,Toy Story,"Animation,Adventure,Family,Comedy",en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",218.376,1995-10-30,8.0,15623
70,Million Dollar Baby,Drama,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",20.343,2004-12-15,8.0,8068
76,Before Sunrise,"Drama,Romance",en,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",18.804,1995-01-27,8.0,3218
588228,The Tomorrow War,"Action,Science Fiction,Adventure",en,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",256.603,2021-07-02,8.0,5625
640,Catch Me If You Can,"Drama,Crime",en,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",45.878,2002-12-25,8.0,12740
76203,12 Years a Slave,"Drama,History",en,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",44.917,2013-10-18,8.0,9777
756999,The Black Phone,"Horror,Thriller",en,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",5278.336,2022-06-22,8.0,1101
